m = 5, n = 5
529
m = 5, n = 5
dp[0]:O = 0, N = 0 (0 >= 5 : 0, 0 >= 5 : 0)
dp[1]:O = 0, N = 0 (0 >= 5 : 0, 0 >= 5 : 0)
dp[2]:O = 0, N = 0 (0 >= 5 : 0, 0 >= 5 : 0)
dp[3]:O = 0, N = 0 (0 >= 5 : 0, 0 >= 5 : 0)
dp[4]:O = 0, N = 0 (0 >= 5 : 0, 0 >= 5 : 0)
dp[5]:O = 0, N = 0 (0 >= 5 : 0, 0 >= 5 : 0)
dp[6]:O = 0, N = 0 (0 >= 5 : 0, 0 >= 5 : 0)
dp[7]:O = 0, N = 0 (0 >= 5 : 0, 0 >= 5 : 0)
dp[8]:O = 0, N = 0 (0 >= 5 : 0, 0 >= 5 : 0)
dp[9]:O = 0, N = 0 (0 >= 5 : 0, 0 >= 5 : 0)
dp[10]:O = 0, N = 0 (0 >= 5 : 0, 0 >= 5 : 0)
dp[11]:O = 0, N = 0 (0 >= 5 : 0, 0 >= 5 : 0)
dp[12]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[13]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[14]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[15]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[16]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[17]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[18]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[19]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[20]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[21]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[22]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[23]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[24]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[25]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[26]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[27]:O = 1, N = 1 (1 >= 5 : 0, 1 >= 5 : 0)
dp[28]:O = 1, N = 2 (1 >= 5 : 0, 2 >= 5 : 0)
dp[29]:O = 1, N = 2 (1 >= 5 : 0, 2 >= 5 : 0)
dp[30]:O = 1, N = 2 (1 >= 5 : 0, 2 >= 5 : 0)
dp[31]:O = 1, N = 2 (1 >= 5 : 0, 2 >= 5 : 0)
dp[32]:O = 1, N = 2 (1 >= 5 : 0, 2 >= 5 : 0)
dp[33]:O = 2, N = 2 (2 >= 5 : 0, 2 >= 5 : 0)
